iter	Passed	Remaining
594	21651	14737
595	21689	14702
596	21729	14668
597	21760	14628
598	21797	14592
599	21834	14556
600	21875	14523
601	21908	14484
602	21948	14450
603	21985	14414
604	22024	14379
605	22062	14343
606	22098	14307
607	22135	14271
608	22173	14236
609	22213	14202
610	22253	14167
611	22291	14132
612	22328	14096
613	22361	14058
614	22396	14020
615	22433	13984
616	22473	13950
617	22515	13917
618	22539	13873
619	22574	13836
620	22610	13799
621	22644	13761
622	22677	13722
623	22716	13688
624	22750	13650
625	22789	13615
626	22821	13576
627	22858	13540
628	22895	13504
629	22928	13465
630	22967	13430
631	23005	13395
632	23033	13354
633	23067	13316
634	23102	13279
635	23139	13243
636	23186	13212
637	23218	13174
638	23255	13138
639	23294	13102
640	23327	13065
641	23369	13031
642	23403	12993
643	23442	12958
644	23477	12921
645	23513	12885
646	23553	12850
647	23590	12814
648	23627	12778
649	23661	12740
650	23698	12704
651	23733	12667
652	23777	12635
653	23815	12599
654	23845	12559
655	23877	12521
656	23916	12485
657	23954	12450
658	23989	12413
659	24024	12376
660	24063	12341
661	24100	12305
662	24140	12270
663	24178	12234
664	24219	12200
665	24262	12167
666	24297	12130
667	24336	12095
668	24373	12059
669	24409	12022
670	24449	11987
671	24476	11946
672	24511	11909
673	24547	11873
674	24573	11831
675	24608	11794
676	24647	11759
677	24686	11724
678	24721	11687
679	24755	11649
680	24793	11614
681	24831	11578
682	24863	11539
683	24897	11502
684	24931	11464
685	24969	11429
686	25008	11394
687	25043	11356
688	25079	11320
689	25117	11284
690	25145	11244
691	25180	11207
692	25219	11172
693	25253	11134
694	25292	11099
695	25328	11062
696	25363	11026
697	25403	10991
698	25441	10955
699	25473	10917
700	25509	10880
701	25546	10844
702	25582	10808
703	25619	10771
704	25655	10735
705	25693	10699
706	25731	10663
707	25770	10628
708	25806	10591
709	25844	10556
710	25882	10520
711	25920	10484
712	25956	10448
713	25992	10411
714	26028	10375
715	26065	10338
716	26105	10303
717	26143	10268
718	26178	10231
719	26217	10195
720	26255	10159
721	26291	10123
722	26325	10085
723	26361	10049
724	26394	10011
725	26431	9975
726	26465	9938
727	26504	9902
728	26540	9866
729	26574	9828
730	26615	9794
731	26657	9759
732	26695	9724
733	26732	9687
734	26771	9652
735	26807	9615
736	26842	9578
737	26877	9542
738	26913	9505
739	26947	9468
740	26984	9431
741	27017	9394
742	27053	9357
743	27089	9321
744	27130	9286
745	27173	9251
746	27211	9216
747	27247	9179
748	27285	9143
749	27322	9107
750	27355	9069
751	27397	9035
752	27435	8999
753	27473	8963
754	27511	8927
755	27549	8891
756	27588	8856
757	27627	8820
758	27664	8784
759	27699	8747
760	27736	8711
761	27770	8673
762	27812	8639
763	27853	8603
764	27887	8566
765	27927	8531
766	27969	8496
767	28007	8460
768	28041	8423
769	28075	8386
770	28109	8349
771	28152	8314
772	28197	8280
773	28230	8242
774	28269	8207
775	28308	8171
776	28340	8133
777	28379	8097
778	28414	8061
779	28454	8025
780	28492	7989
781	28524	7951
782	28562	7915
783	28594	7878
784	28630	7841
785	28667	7805
786	28711	7770
787	28750	7734
788	28786	7698
789	28822	7661
790	28857	7624
791	28897	7589
792	28931	7552
793	28974	7517
794	29015	7481
795	29051	7445
796	29091	7409
797	29129	7373
798	29169	7337
799	29205	7301
800	29239	7264
801	29276	7227
802	29316	7192
803	29348	7154
804	29387	7118
805	29424	7082
806	29460	7045
807	29500	7010
808	29534	6972
809	29564	6934
810	29594	6896
811	29631	6860
812	29672	6824
813	29712	6789
814	29748	6752
815	29787	6716
816	29821	6679
817	29859	6643
818	29894	6606
819	29930	6570
820	29969	6534
821	30008	6498
822	30046	6461
823	30086	6426
824	30122	6389
825	30154	6352
826	30194	6316
827	30229	6279
828	30265	6242
829	30298	6205
830	30331	6168
831	30368	6132
832	30408	6096
833	30444	6059
834	30482	6023
835	30516	5986
836	30555	5950
837	30593	5914
838	30628	5877
839	30666	5841
840	30707	5805
841	30745	5769
842	30783	5733
843	30824	5697
844	30863	5661
845	30896	5624
846	30936	5588
847	30974	5552
848	31012	5515
849	31047	5478
850	31084	5442
851	31121	5406
852	31160	5370
853	31194	5332
854	31230	5296
855	31268	5260
856	31301	5223
857	31338	5186
858	31377	5150
859	31411	5113
860	31450	5077
861	31483	5040
862	31521	5003
863	31555	4967
864	31593	4930
865	31632	4894
866	31661	4856
867	31697	4820
868	31735	4784
869	31770	4747
870	31802	4710
871	31844	4674
872	31880	4637
873	31919	4601
874	31956	4565
875	31992	4528
876	32021	4490
877	32056	4454
878	32096	4418
879	32129	4381
880	32162	4344
881	32198	4307
882	32232	4270
883	32274	4235
884	32305	4197
885	32342	4161
886	32377	4124
887	32413	4088
888	32448	4051
889	32485	4015
890	32523	3978
891	32563	3942
892	32603	3906
893	32639	3869
894	32675	3833
895	32719	3797
896	32759	3761
897	32794	3724
898	32832	3688
899	32873	3652
900	32913	3616
901	32948	3579
902	32983	3543
903	33019	3506
904	33054	3469
905	33101	3434
906	33146	3398
907	33187	3362
908	33222	3325
909	33255	3288
910	33291	3252
911	33330	3216
912	33362	3179
913	33396	3142
914	33434	3105
915	33466	3068
916	33498	3032
917	33535	2995
918	33572	2959
919	33608	2922
920	33644	2885
921	33684	2849
922	33716	2812
923	33747	2775
924	33785	2739
925	33822	2702
926	33857	2666
927	33886	2629
928	33915	2592
929	33956	2555
930	33977	2518
931	34016	2481
932	34050	2445
933	34086	2408
934	34123	2372
935	34161	2335
936	34202	2299
937	34238	2263
938	34276	2226
939	34315	2190
940	34351	2153
941	34387	2117
942	34422	2080
943	34456	2044
944	34490	2007
945	34525	1970
946	34563	1934
947	34600	1897
948	34636	1861
949	34671	1824
950	34706	1788
951	34745	1751
952	34782	1715
953	34823	1679
954	34857	1642
955	34895	1606
956	34929	1569
957	34960	1532
958	34996	1496
959	35030	1459
960	35072	1423
961	35107	1386
962	35144	1350
963	35181	1313
964	35213	1277
965	35239	1240
966	35273	1203
967	35307	1167
968	35346	1130
969	35382	1094
970	35410	1057
971	35446	1021
972	35471	984
973	35507	947
974	35549	911
975	35580	874
976	35618	838
977	35657	802
978	35696	765
979	35731	729
980	35769	692
981	35806	656
982	35847	619
983	35890	583
984	35923	547
985	35960	510
986	35991	474
987	36029	437
988	36065	401
989	36102	364
990	36137	328
991	36168	291
992	36204	255
993	36235	218
994	36271	182
995	36305	145
996	36339	109
997	36374	72
998	36412	36
999	36452	0
