iter	Logloss
0	0.5428732296
1	0.4286504745
2	0.3488500535
3	0.2882741526
4	0.2521852877
5	0.2143506743
6	0.1911754825
7	0.178518135
8	0.1646946383
9	0.1533715534
10	0.144572769
11	0.138314235
12	0.1350199607
13	0.1314209006
14	0.1280511563
15	0.125435551
16	0.1226790383
17	0.1207442579
18	0.1186502835
19	0.1174692722
20	0.1161131156
21	0.1150410998
22	0.1142787875
23	0.1136021179
24	0.1129646256
25	0.1125375993
26	0.1120900755
27	0.111371372
28	0.1108351553
29	0.1101503208
30	0.1096436302
31	0.1091677099
32	0.1088133169
33	0.1082668447
34	0.107965168
35	0.1075466536
36	0.1072890181
37	0.1071269222
38	0.1067865384
39	0.1060814914
40	0.1057289198
41	0.1054107909
42	0.1050529491
43	0.1047389882
44	0.104337179
45	0.1040880443
46	0.1036931172
47	0.1033952605
48	0.1032063701
49	0.1029247508
50	0.1026341392
51	0.1023821112
52	0.1021958578
53	0.1020098
54	0.1018572947
55	0.1015526284
56	0.1011823238
57	0.1010165629
58	0.10086748
59	0.1005460008
60	0.1003923581
61	0.1001913357
62	0.09995156378
63	0.09985363171
64	0.09967929323
65	0.09948662725
66	0.09923854229
67	0.0991422186
68	0.09893969672
69	0.09884809977
70	0.09872948563
71	0.09860720561
72	0.09845338211
73	0.09831438316
74	0.09814811889
75	0.09799230408
76	0.09792975466
77	0.0977418015
78	0.09753029516
79	0.09725150724
80	0.09717230398
81	0.09703897568
82	0.09685967348
83	0.09660662516
84	0.09652209762
85	0.09640382555
86	0.09587531057
87	0.09574904449
88	0.0955717935
89	0.09548285817
90	0.09539751129
91	0.09526351169
92	0.0951782437
93	0.0951012526
94	0.09506002128
95	0.09489956601
96	0.0946888576
97	0.09453650102
98	0.09420857313
99	0.0940813754
100	0.09397594499
101	0.09382904678
102	0.09374795561
103	0.09362346698
104	0.09355092599
105	0.09342957549
106	0.09331106741
107	0.09322399964
108	0.0931073867
109	0.09304360167
110	0.09293621372
111	0.09285905546
112	0.09279632082
113	0.09270637388
114	0.09263309411
115	0.09253897713
116	0.09238737213
117	0.09204978946
118	0.09198198106
119	0.09191395186
120	0.09180573304
121	0.09175388599
122	0.09173291244
123	0.09167612458
124	0.09158200235
125	0.09150589436
126	0.0914251426
127	0.09137796396
128	0.09122460677
129	0.09119478523
130	0.09116262602
131	0.09107350333
132	0.09094879695
133	0.09082956407
134	0.09071625967
135	0.09054673752
136	0.09049561314
137	0.09036500673
138	0.09020767236
139	0.09013716349
140	0.09006338937
141	0.09002084348
142	0.08997039622
143	0.08988161558
144	0.08983384571
145	0.08981782516
146	0.08946809141
147	0.08940724492
148	0.08925585119
149	0.08919281306
150	0.08910068381
151	0.0890500141
152	0.08894727564
153	0.08889292014
154	0.08877644553
155	0.08870884622
156	0.08854962006
157	0.08847956346
158	0.0884100976
159	0.08840240343
160	0.08832787051
161	0.08832451866
162	0.08827544336
163	0.08822433467
164	0.0880146914
165	0.08796949735
166	0.08792805278
167	0.08786380713
168	0.08782564632
169	0.08775764545
170	0.08770646533
171	0.0876694955
172	0.08760828956
173	0.08755325732
174	0.08742049872
175	0.08736488828
176	0.08731067876
177	0.08721960334
178	0.08716448065
179	0.0871164923
180	0.08706106274
181	0.08699228034
182	0.0868583517
183	0.0867703778
184	0.08666823591
185	0.08659922629
186	0.08658883108
187	0.08655647182
188	0.08651990486
189	0.0864990668
190	0.08643253901
191	0.08638478037
192	0.08633820353
193	0.0863105887
194	0.08627620772
195	0.08619411315
196	0.08614010167
197	0.08608177588
198	0.08603322001
199	0.08598946546
200	0.08587608666
201	0.08584099004
202	0.08576510375
203	0.08570844554
204	0.08561029506
205	0.08559239164
206	0.0854154737
207	0.08540117682
208	0.08535994287
209	0.08534402194
210	0.08532100739
211	0.08524381589
212	0.08518761607
213	0.08517850872
214	0.08517072644
215	0.08511089217
216	0.08510291618
217	0.08505194499
218	0.08502745199
219	0.08498878692
220	0.08494760686
221	0.08489547758
222	0.08479234575
223	0.08473867529
224	0.08468722036
225	0.08464116806
226	0.08456360387
227	0.08451903524
228	0.08438814377
229	0.08427985604
230	0.08425202461
231	0.08415801776
232	0.08413068427
233	0.08404556652
234	0.08403585886
235	0.0839631512
236	0.0839055367
237	0.08386158219
238	0.08380920399
239	0.08373205645
240	0.08366830826
241	0.0835962775
242	0.0835377791
243	0.08351060027
244	0.08348178872
245	0.08344286484
246	0.08341072621
247	0.08339695891
248	0.08333708036
249	0.08331153212
250	0.08326451992
251	0.08323321032
252	0.0832086575
253	0.08312338384
254	0.08310711784
255	0.08304499348
256	0.08301217862
257	0.08296377538
258	0.08288774917
259	0.08283201672
260	0.08279819687
261	0.08268698332
262	0.08259770308
263	0.08258289299
264	0.08247938303
265	0.08237438218
266	0.0823348217
267	0.0823170522
268	0.08225960666
269	0.0822250336
270	0.08218591131
271	0.0821209621
272	0.08206971508
273	0.08201283082
274	0.08193134054
275	0.08190208003
276	0.08187066207
277	0.08186080984
278	0.08184635259
279	0.08179533903
280	0.08177025569
281	0.08171583075
282	0.0816348802
283	0.08159109795
284	0.0815541964
285	0.081495364
286	0.08147107661
287	0.08144937841
288	0.0814092401
289	0.08132984388
290	0.08129679662
291	0.08126078243
292	0.08122013253
293	0.08114599731
294	0.08114493314
295	0.08113394243
296	0.08105873861
297	0.08103187541
298	0.08099115916
299	0.08086708491
300	0.08081757036
301	0.08075132033
302	0.08062107416
303	0.08057631528
304	0.08056860755
305	0.08048962659
306	0.0804461595
307	0.08041441677
308	0.08038972773
309	0.08036694066
310	0.08023748417
311	0.08014172069
312	0.08012585216
313	0.08012329158
314	0.08008910636
315	0.08007024336
316	0.08004028278
317	0.0799256696
318	0.07989881532
319	0.07980819816
320	0.07970631857
321	0.07968902924
322	0.07966896255
323	0.07963128368
324	0.0795508137
